,cg25837710,cg11224603,cg19651132,cg06633615,cg07616879,cg06590608,cg21759280,cg05705018,cg08339497,cg18746831,cg06108510,cg20392607,cg09493063,subtype
0,0.0120988923983002,0.0188307387389016,0.0111948135745959,0.915290562773534,0.0912201454689468,0.015418703449651,0.574525950337262,0.110381675614696,0.928861926357127,0.311402138385905,0.0420917863846126,0.0244191335288895,0.0352240467047572,UCEC_CN_HIGH
1,0.0147751775115835,0.0258240946450933,0.385224704767156,0.925956154018202,0.896017170087867,0.0170769349720037,0.975434033917452,0.932827826285716,0.933196711307165,0.904956281118016,0.0462555956339311,0.340739294718321,0.0478996989669166,UCEC_CN_LOW
2,0.0163955917453285,0.0297178881503468,0.0218951813076686,0.143614966924829,0.0639955629086279,0.0185893078753933,0.6513365872053,0.308098890691479,0.109097843689889,0.304080673240384,0.083586214262219,0.0300030599555341,0.072329684857283,UCEC_CN_HIGH
3,0.0098738797146806,0.0162579464303866,0.860178332754638,0.949116177854937,0.969769167484698,0.0120494212025104,0.525060480475109,0.942566261386355,0.964978866446208,0.981621111361203,0.0375365627379254,0.813203310661402,0.935390031641081,UCEC_CN_LOW
4,0.0100907154216882,0.0167575680103197,0.450451226603156,0.938414192790889,0.937689365290964,0.0125023665501061,0.987722097144335,0.855063413249841,0.959159299063345,0.98057503891027,0.0372536954679111,0.431659367493353,0.323587594092582,UCEC_POLE
5,0.0170519991923889,0.0261646172129782,0.0268886413593117,0.297477704991837,0.132588707471426,0.0180932689861863,0.54834011482686,0.241709707360656,0.350642856146829,0.373549669086742,0.0376187733897187,0.0456806837394114,0.0530976473156955,UCEC_CN_HIGH
6,0.238092087858953,0.263874995631432,0.519173533600793,0.595193679074336,0.542209284385418,0.412198402632099,0.611758827725912,0.82316580374323,0.748436252882272,0.963563832719628,0.295205486803429,0.463486186602772,0.623583256710728,UCEC_CN_LOW
7,0.0088155917611764,0.013077943927096,0.587420103561165,0.632222761833017,0.883554552456402,0.0110907782451484,0.972799501272423,0.937212733859354,0.678676290708355,0.967616973712509,0.0301610042494691,0.57898463393872,0.559502229964401,UCEC_CN_LOW
8,0.0111076566399596,0.0156944820406434,0.0198702751088629,0.963079522987028,0.42695752645185,0.0103490670602153,0.98658482381993,0.0696832667714751,0.977436010057984,0.22280560074677,0.0287917894363921,0.0347857862193758,0.0699259473660169,UCEC_CN_HIGH
9,0.0131722073931201,0.0219396526904244,0.521731646034106,0.9608889212585,0.935087715835797,0.0123324847928508,0.983517657487259,0.840869037750338,0.973426561056357,0.838151923007962,0.034473697463182,0.543414729111591,0.484813655197983,UCEC_MSI
10,0.0111654776453095,0.0141401580596043,0.200397501406579,0.96227326335002,0.508140259539343,0.0112557359947881,0.980081754660534,0.843629868965326,0.970098144041127,0.456985098515756,0.0247568684823525,0.221339543880342,0.0320298671276802,UCEC_CN_HIGH
11,0.013912143652505,0.017963222054789,0.744470366802418,0.931960441239429,0.95049427582041,0.0132124203233217,0.899836658001838,0.786620594069981,0.961610815545962,0.947712415366729,0.0479714317468816,0.737427053488985,0.842838148306299,UCEC_POLE
12,0.0129468223092719,0.0201584849086812,0.543319225246219,0.873614697334791,0.884408204365913,0.0152367619695061,0.976252164239552,0.937557796370902,0.898503424510094,0.976628213047141,0.0313213205974023,0.53879181194382,0.670745398243652,UCEC_CN_HIGH
13,0.0319501143498538,0.0264717831499622,0.0152856349364454,0.924798744307333,0.195640175968859,0.0180668824092513,0.975463711816509,0.329193224743072,0.927081874467069,0.214948733030644,0.0488973687395831,0.0419957371769145,0.0434297410142433,UCEC_CN_HIGH
14,0.0161119217802337,0.0151514799042687,0.398465568344149,0.933012721555597,0.928296937619467,0.0132141143681972,0.984161112943994,0.463969580607009,0.948419720954363,0.151974629356811,0.0256665916558288,0.397407980124347,0.0533609314767837,UCEC_CN_HIGH
15,0.0111795184473799,0.0160012966229131,0.522962562021446,0.95405561551204,0.693353698518222,0.012027695844821,0.971736088573942,0.743334915577809,0.957722864185722,0.976724812330809,0.0313696622983808,0.499167472993394,0.566785048681965,UCEC_CN_LOW
16,0.0091495119610759,0.0128220564137137,0.0093055234246986,0.959244831890907,0.0830106182253463,0.0087175697544563,0.371153250627787,0.0690382474511161,0.972117699687524,0.253653146341494,0.0527502167178838,0.0318631124398138,0.0497742865613569,UCEC_CN_HIGH
17,0.0140366282751308,0.0186242849851329,0.0199399649785328,0.602151383411746,0.200246958333984,0.0143867530160085,0.977112090258663,0.271300572119763,0.768515027644066,0.520285596597643,0.0324588398213864,0.0375109496963221,0.0457005409679977,UCEC_CN_HIGH
